ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
1912,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit+OR+1%3D1+--+,302,Found,1,628,0
1913,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,3,426,0
1914,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27+AND+%271%27%3D%271%27+--+,302,Found,2,628,0
1915,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27+AND+%271%27%3D%272%27+--+,302,Found,1,628,0
1916,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,3,272,1342
1917,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27+OR+%271%27%3D%271%27+--+,302,Found,1,628,0
1918,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit+UNION+ALL+select+NULL+--+,302,Found,1,628,0
1919,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,3,426,0
1920,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27+UNION+ALL+select+NULL+--+,302,Found,2,628,0
1921,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1922,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%22+UNION+ALL+select+NULL+--+,302,Found,2,628,0
1923,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,3,426,0
1924,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%29+UNION+ALL+select+NULL+--+,302,Found,2,628,0
1926,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1925,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27%29+UNION+ALL+select+NULL+--+,302,Found,2,628,0
1927,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,3,426,0
1928,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit,302,Found,2,628,0
1929,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1930,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1931,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1932,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1933,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1934,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1935,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1936,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1937,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,0,272,1342
1938,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1939,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1940,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1941,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1942,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1943,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1944,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1945,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1946,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1947,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1948,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1949,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1950,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1951,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,0,272,1342
1952,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1953,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,20,272,1342
1954,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1955,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1956,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1957,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1958,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1959,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1960,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1961,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1962,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1963,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1964,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1965,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1966,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1967,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1968,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1969,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1970,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1971,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1972,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1973,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1974,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1975,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1976,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1977,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1342
1978,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1979,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1980,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1981,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1342
1982,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1983,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1984,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
1985,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,291,1381
1986,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,4,281,0
1987,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
1988,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
1989,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,3,272,1381
1990,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
1991,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
1992,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
1993,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
1994,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
1995,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
1996,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
1997,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
1998,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
1999,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2000,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
2001,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1342
2002,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
2003,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
2004,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
2005,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
2006,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
2007,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
2008,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
2009,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2010,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
2011,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2012,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
2013,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
2014,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
2015,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2016,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,281,0
2017,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1381
2018,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
2019,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2020,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
2021,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2022,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,4,281,0
2023,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2024,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,281,0
2025,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,2,272,1381
2026,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
2027,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%22%3Bprint%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%3B%24var%3D%22&Submit=Submit,302,Found,2,628,0
2028,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%27%3Bprint%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%3B%24var%3D%27&Submit=Submit,302,Found,2,628,0
2029,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/dvwa,301,Moved Permanently,1,208,350
2030,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%24%7B%40print%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%7D&Submit=Submit,302,Found,1,628,0
2031,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/dvwa/css,301,Moved Permanently,2,212,354
2032,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%24%7B%40print%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%7D%5C&Submit=Submit,302,Found,2,628,0
2033,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/dvwa/images,301,Moved Permanently,1,215,357
2034,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%3Bprint%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%3B&Submit=Submit,302,Found,1,628,0
2035,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,7,272,1342
2036,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%22%2Bresponse.write%28798%2C869*188%2C524%29%2B%22&Submit=Submit,302,Found,2,628,0
2037,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
2038,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=%2Bresponse.write%28%7B0%7D*%7B1%7D%29%2B&Submit=Submit,302,Found,1,628,0
2039,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities,301,Moved Permanently,0,219,361
2040,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=response.write%28798%2C869*188%2C524%29&Submit=Submit,302,Found,1,628,0
2041,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli,301,Moved Permanently,0,224,366
2042,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,3,272,1342
2043,Thu Mar 19 12:03:22 CST 2026,Thu Mar 19 12:03:22 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=%22%3Bprint%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%3B%24var%3D%22,302,Found,1,628,0
